Percentage,Food Items
90-99,"Nonfat milk, cantaloupe, strawberries, watermelon, lettuce, cabbage, celery, spinach, squash"
80-89,"Fruit juice, yogurt, apples, grapes, oranges, carrots, broccoli, pears, pineapple"
70-79,"Bananas, avocados, cottage cheese, ricotta cheese, baked potato, shrimp"
60-69,"Pasta, legumes, salmon, chicken breast"
50-59,"Ground beef, hot dogs, steak, feta cheese"
40-49,"Pizza"
30-39,"Cheddar cheese, bagels, bread"
20-29,"Pepperoni, cake, biscuits"
10-19,"Butter, margarine, raisins"
0-9,"Walnuts, dry-roasted peanuts, crackers, cereals, pretzels, peanut butter"
